concurrent_users,cpu_utilization_percent,memory_utilization_percent,disk_io_operations,network_bandwidth_mbps,server_type,virtualization,database_queries_per_second,cache_hit_rate,server_age_months,operating_system,application_complexity,peak_hour_flag,background_processes,response_time_ms
971.0,57.62908132949697,52.12442548389436,940.607617643524,364.2065630979559,Application,Container,18.89075716511526,55.37851060483046,14.96187360848084,Windows,Complex,0.0,213.0,491.3970980822433
4715.0,83.92908874808619,69.02388276965445,5924.288051987579,670.8145109169852,Database,Physical,38.471198137804194,76.7233594021161,47.921654389824205,Linux,Complex,0.0,231.0,159.30816271968743
4377.0,29.783439741230666,77.41785685913555,768.262538041248,515.302147158623,Web,Physical,339.15335823403603,84.14765274491836,53.9128962319414,Windows,Moderate,0.0,256.0,414.4320851825326
2560.0,44.11277939499236,73.1026642855056,2518.6729474397075,682.0356034584852,File,VM,225.61062219703325,75.59751246957377,19.55158252289,Unix,Moderate,0.0,96.0,213.7654976425287
2365.0,63.16286680618913,81.14487076809172,6042.002850899824,126.87769824919154,Web,VM,458.2372809172073,79.31999321580946,19.41409703851395,Windows,Moderate,1.0,492.0,491.3970980822433
3533.0,55.89770009151614,60.5752431926025,444.6436005119992,701.319843194315,Application,Physical,256.1259831983623,75.76754837168443,21.625634671558892,Windows,Complex,0.0,413.0,169.32839671744065
4116.0,40.976533647452825,92.82261500521366,7326.277459145569,157.0651966318484,Application,Container,309.2350752115126,55.22236239114636,31.655155918564272,Linux,Simple,0.0,429.0,457.1771217985992
1357.0,51.00626245221216,75.64569563276287,1801.252357527274,845.549283437944,Web,Physical,134.8219107552958,80.5751927624026,31.09667942706405,Linux,Complex,0.0,278.0,347.4766506157093
708.0,20.548009488526592,78.85521097492752,3421.248090385279,908.0896754323666,Application,VM,88.19432207103719,74.83012085935829,44.531822329652535,Windows,Moderate,1.0,135.0,301.0408185984339
4952.0,81.17829244018849,90.9947550534163,3949.1951239372297,891.2572995361279,Web,VM,377.69762631990153,94.42167345551552,27.022081772344112,Unix,Simple,0.0,411.0,271.27543857042565
3772.0,41.022164494755984,55.3905765802311,3264.003924874501,520.3763480752461,File,Container,419.9802324897568,86.3846128694572,52.47782210034389,Windows,Moderate,0.0,400.0,664.5396569595109
3010.0,38.319761719421855,59.39044846356348,5110.726587677345,503.966370944271,Web,Physical,481.3044074457112,89.08433957190407,56.92794039154582,Linux,Moderate,0.0,379.0,53.57150933154767
